Issue Type,Issue key,Issue id,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Votes
Support Request,JRACLOUD-44545,766785,need to know SLA details on urgent basis SEN-2106190,,masalam2,,Closed,Tracked Elsewhere,28/Jul/2015 12:01 PM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-43498,767302,Document jira.text.field.character.limit ,mmallorquincanet,matt.doar,,Closed,Fixed,21/May/2015 7:33 PM,15/Aug/2019 5:32 AM,0
Support Request,JRACLOUD-43519,767131,Update on Application Links Version Matrix,rrobins,lrura,,Closed,Done,25/May/2015 5:23 AM,15/Aug/2019 5:32 AM,0
Support Request,JRACLOUD-43507,762929,Documentation for JIRA - HP Service Manager Integration ,llu,acardino,,Closed,Obsolete,22/May/2015 1:06 PM,11/Aug/2019 5:03 PM,2
Support Request,JRACLOUD-43493,760707,Document the JRE version used with JIRA,wthompson,matt.doar,,Closed,Tracked Elsewhere,21/May/2015 4:01 PM,04/Feb/2019 2:46 PM,0
Support Request,JRACLOUD-23001,758585,Bulk Download,pgisbey,ddeare,,Closed,Won't Do,11/Nov/2010 3:39 PM,19/Sep/2018 4:16 AM,0
Support Request,JRACLOUD-59243,772331,JIRA Automation plugins,,mohammed.alhomran,,Closed,Support Request,06/Jan/2016 5:03 AM,02/Apr/2017 11:14 AM,0
Support Request,JRACLOUD-59026,766807,Jira 25 User license,,itrmg,,Closed,Support Request,16/Dec/2015 10:30 AM,02/Apr/2017 11:14 AM,0
Support Request,JRACLOUD-43499,767935,Upgrading JIRA Manually Instructions update suggestions,wthompson,khannon,,Closed,Fixed,21/May/2015 10:32 PM,02/Apr/2017 11:00 AM,0
Support Request,JRACLOUD-31471,740514,I cannot download greenhopper I keep getting the a...,,feedback-bot,,Closed,Handled by Support,25/Jan/2013 2:36 PM,02/Apr/2017 10:15 AM,0
Support Request,JRACLOUD-37175,730947,Can't create new Workflow Status > Error DataAccessException,,markus.tollmann,Highest,Closed,Support Request,25/Feb/2014 8:58 AM,15/Aug/2019 5:41 AM,0
Support Request,JRACLOUD-42448,756270,Problems with Tempo Timesheet,,emmanuel.cencerrado,Highest,Closed,Answered,13/Mar/2015 1:57 PM,15/Aug/2019 5:40 AM,0
Support Request,JRACLOUD-26345,745672,"Can't save ""advanced"" filters",mchin,dcorlette,Highest,Closed,Handled by Support,21/Nov/2011 6:14 PM,15/Aug/2019 5:39 AM,0
Support Request,JRACLOUD-36078,771718,"When the new ""state"", appears ERROR: duplicate key value violates unique constraint ""pk_issuestatus"" ",,chengdan,Highest,Closed,Support Request,05/Dec/2013 8:38 AM,15/Aug/2019 5:39 AM,0
Support Request,JRACLOUD-37648,771555,Errors importing from local jira to OnDemand Jira.,,blukas,Highest,Closed,Support Request,24/Mar/2014 10:23 PM,15/Aug/2019 5:39 AM,0
Support Request,JRACLOUD-59684,771328, Error in Deleting an Issue & Uploading an Attachment,,sabarish.chokkalingom,Highest,Closed,Support Request,05/Feb/2016 7:11 AM,15/Aug/2019 5:39 AM,1
Support Request,JRACLOUD-37021,768335,Old URL is not working after upgrading JIRA to 6.1.7,,achopra,Highest,Closed,Resolved Locally,15/Feb/2014 8:39 AM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-37611,767921,Readonly fields are editable through inline editing ,,abhishek.sharma,Highest,Closed,Support Request,24/Mar/2014 8:49 AM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-28982,746229,Standard Upgrade from 5.0.5 to 5.1 fails,,teichfeld,Highest,Closed,Handled by Support,17/Jul/2012 6:30 PM,15/Aug/2019 5:38 AM,1
Support Request,JRACLOUD-37290,770768,"Log in to JIRA as a user with administrative rights.From the JIRA dashboard click the  (settings) icon.Choose Add-ons. If the Marketplace banner appears, skip through by choosing the Manage add-ons link.",,anand.sunku,Highest,Closed,Support Request,25/Feb/2014 3:51 PM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-28410,746756,Not able to manage project level permission,,kapokfly,Highest,Closed,Handled by Support,29/May/2012 3:34 AM,15/Aug/2019 5:38 AM,0
Support Request,JRACLOUD-36323,753051,JIRA problem on Windows 8.1,,6f221101-0d64-4a62-b267-ad18166904cd,Highest,Closed,Support Request,27/Dec/2013 11:18 PM,15/Aug/2019 5:37 AM,0
Support Request,JRACLOUD-40045,753171,Our Link is not working,,prashant.dixit,Highest,Closed,Support Request,19/Sep/2014 7:00 AM,15/Aug/2019 5:37 AM,0
Support Request,JRACLOUD-39962,752784,Exception occurred while configuring the project template,,danny8,Highest,Closed,Answered,27/Jun/2014 10:07 PM,15/Aug/2019 5:37 AM,1
Support Request,JRACLOUD-36382,730371,Receiving an Issue Ranking Operation log entry found where none expected error.,,suzanne.flegel,Highest,Closed,Support Request,07/Jan/2014 12:57 AM,15/Aug/2019 5:37 AM,0
Support Request,JRACLOUD-33414,745763,configure custom priority options per project,,eunice.mora,Highest,Closed,Support Request,06/Jun/2013 8:26 PM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-47619,772937,"AJAX saves fail on JIRA Cloud (comments, resolution)",,zoltan.lehoczky1,Highest,Closed,Support Request,24/Nov/2015 8:34 PM,15/Aug/2019 5:36 AM,3
Support Request,JRACLOUD-37603,745031,Jira wrongly inactive ladp users,,olga.pliskogrissik,Highest,Closed,Duplicate,23/Mar/2014 9:17 AM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-37604,744665,Problem with syncronization Jira 6.1.5 and openLdap,,olga.pliskogrissik,Highest,Closed,Support Request,23/Mar/2014 9:21 AM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-37479,744140,JIRA instance was down : occupied more resources in CPU.,,nsk,Highest,Closed,Support Request,14/Mar/2014 3:19 AM,15/Aug/2019 5:36 AM,0
Support Request,JRACLOUD-37315,744297,Jira keeps crashing - Cannot pull EOM Tempo Reports,,coconnell,Highest,Closed,Support Request,03/Mar/2014 10:03 PM,15/Aug/2019 5:36 AM,0
